Possitve comments,Negative comments
Janatrha Vimmukthi Peramuna nayakathwaya dena Jathika Janabalawegaya samaga siyalu denama ekathu wee,Ane manda meyda president paw ara miharak 69
Rata jayagrhanaya kara regena yamu,Akath iwarai ahenam
Wedak piliwelakata karanna puluwan pratipattiyak tiyana minissu tama obala,Upades dunne maala hora wenna one
issarahata ikamanatama yanna,Katin withrai
niduk neerogi suvaya labeva,"Ma kage shapayakd,pissek raja unath ekai rajek pissek unath ekaii"
jvp sakthiya eka loku pawlak,Dilith kiyana buruwata kiyapan advice karanna kiyala
ape rate sundara ratak,Hamadaama assaya giyata passe istale wahanawa
oya hodai aththa kiyanne,Loketama nayawela ape appachchila set eka maruwen maruwata karapu sanwardanaya ada api bukthi widinawa
Obata theruwan saranay,Duminda eliyata dala anduwa gedara yanna hadanne
"Jayawewa,2024 janapathi karamu",Horu tika watawela
Kiyana de sahathika eththaa,Lokema Higanama Rata Dan mekamun maru desapalakayo
oba tamai aniwaryenma meratata janaadhipathi wiya yutte,Mun ekath piliganna gihin harak
Aththa kathawa,den chanda tika wetei siti siti gala
Hariyata hari,Jeppani oka wasangatayak
Supiri,Minissu vidihata hithapalla gothrikayo novie
Ape sahota Jayaweva,den meeka hingaa kana ratak lejjai
Jaya wewa.theruwan saranai,Thawath meke un untama aawadanwa
Jayawewa gampahen 1ta enawa oba thuma,mewata ridenne umbalage wahalkama nisa
wellassata wadak karapu ekama nayakaya,Pissu gota oka ombata keranna danne neha
Ape sirta dalada samidu pihiten jayen jayama wewa,"baiyonta maara wade une,Kuliyata liyana wahallu"
Subaasiri,"chande denna epa,panpori gahan nethuwa"
JAYA wewa anagatha janadhipathi tumani obata,Mekath huda horek thama
Lassani sir,gong rajayata owaa therenne nehe
Allha dewiyange pitai namal sir,rata kelawapalla
Subapathum. Welawata. Sudusude. Hariyatama karana tharunnaye abimanaya,wahalune danwath therum ganilla
Lassanai Bs,balu jeppo
Idiriyatama yanna,Gon labba
Oba thuma heeywata ratata adareihadamu amathi thumani diunu ratak karamu,balanna barinam nida ganilla
obatumanla meh ratata wasanawak,Pissu nande oka dipan anurata
Hodama manussayek,Mada balakaya
"ratata wasanawak,rata hadamu",thopita hena gahanawa
Youtube live ekak dunna nam hodai,mea karanee ape rata vinasayak
"ojanaawa itha wegen kireema pilibandawa maage sthuuthiya,Eya niyamai!!",Meke inna harakta kiyAla den eka amaru deyak
"Garu nayakathumani obathumatatt dayabara methitumryatatt budusaranin seyaludevipehetin ekman suwaya lebewai pathanawa,",hithapalla wahallu wenne nathuwa
Obatuma suwapath wewa,Wahallu ennakal me rata goda Danna baha baiyani
Obathumata godaak pin janathawa gana hitana nayakayek,rata kala wikunala
"dara niya nayaka tumani oba dapalatha samma sam budu guna balayan ikman suwaya labawa labawa labawa,",pacha kelinne nethuwa hitapalla
kuriru yuddhaya katavat karaganna bari ya bari ya yana adahasin tis vasara pavatun itihasaya obata matakada ema dukkhita itihasaya nati kale mahinda rajapaksa noveda,pissan kotuwen panala aapu kena neda
atdakim bahula nayakayek,me rata winasa krnn balya dunn
athivishitai agamathitumani hodama wadak,rate minissu corona walin merenawa
rata hari magata wada samaga ape janapati jayaveva,minissunta marana baya dila mun ithuru awurdu 3 nam mehem thami krnne
"Rate Anagatha Sawbhagyaye Dekme Idiri Gamane Sangwardanaya Udesawu Colombo Port City Wyapruthiya Akandawama Athi Sarthakawa Karagena Yemata Api Obathumanlata Dahirrya Shakthiya Pathanawa Athigharu Agramathya Thumani., Gharu Amathya Waruni.",gon bayya
e tiranaya nam uparimayen agaya karanwa,Me tharam viyasanayak wela thiyeddi janathawa
Garu agamathi thumage kriyakari deshapalalana jeevitayama janatha sevayata kapa Kara hamarae.dalada samidu pihitae,elo deyak danne Neha ratata hena gehuwath unta wedakuth neha
Hadawathe radi sundara nayakayek,kaawa rata aprde me rata
Eda dun obe editara nayakathwaya oneh mohotak meh,dan inne punnkku baiyyo tikk withryi
Abeetha hela raju obai,okoma unata passe mee wage kiyanawda kiyala ugath balaya thiyana minissu hithala balanna wevii
Adatath a wishwasaya tiyanwa apita obatuma gana,225ta hena ghana banga wela ynna one kalakanni politikko
Niwaradi editara nayakathwayata hamada garu karami,Ashwaya panala giyaama pampori gahala isthaale wahana kramaya wenas karanna bari da rate
Niwahal nidahas ratak himikara dun obathumata ape hadawathe nayakaya,Chinata p dipan kabaraya
,awasaneta duk vidina ape maubima pita ratiyanta vikunanawa
